word,english,first_person_present_singular,second_person_present_singular,third_person_present_singular,first_person_present_plural,second_person_present_plural,third_person_present_plural,first_person_future_singular_i,second_person_future_singular_i,third_person_future_singular_i,first_person_future_plural_i,second_person_future_plural_i,third_person_future_plural_i,first_person_future_singular_ii,second_person_future_singular_ii,third_person_future_singular_ii,first_person_future_plural_ii,second_person_future_plural_ii,third_person_future_plural_ii,first_person_past_perfect_singular,second_person_past_perfect_singular,third_person_past_perfect_singular,first_person_past_perfect_plural,second_person_past_perfect_plural,third_person_past_perfect_plural,first_person_past_pluperfect_singular,second_person_past_pluperfect_singular,third_person_past_pluperfect_singular,first_person_past_pluperfect_plural,second_person_past_pluperfect_plural,third_person_past_pluperfect_plural,first_person_past_imperfect_singular,second_person_past_imperfect_singular,third_person_past_imperfect_singular,first_person_past_imperfect_plural,second_person_past_imperfect_plural,third_person_past_imperfect_plural,first_person_past_aorist_singular,second_person_past_aorist_singular,third_person_past_aorist_singular,first_person_past_aorist_plural,second_person_past_aorist_plural,third_person_past_aorist_plural,first_person_conditional_i_singular,second_person_conditional_i_singular,third_person_conditional_i_singular,first_person_conditional_i_plural,second_person_conditional_i_plural,third_person_conditional_i_plural,first_person_conditional_ii_singular,second_person_conditional_ii_singular,third_person_conditional_ii_singular,first_person_conditional_ii_plural,second_person_conditional_ii_plural,third_person_conditional_ii_plural,first_person_imperative_singular,first_person_imperative_plural,second_person_imperative_plural
amputirati,to amputate,amputiram,amputiraš,amputira,amputiramo,amputirate,amputiraju,amputirat ću,amputirat ćeš,amputirat će,amputirat ćemo,amputirat ćete,amputirat će,budem amputirao,budeš amputirao,bude amputirao,budemo amputirali,budete amputirali,budu amputirali,amputirao sam,amputirao si,amputirao je,amputirali smo,amputirali ste,amputirali su,bio sam amputirao,bio si amputirao,bio je amputirao,bili smo amputirali,bili ste amputirali,bili su amputirali,amputirah,amputiraše,amputiraše,amputirasmo,amputiraste,amputirahu,amputirah,amputira,amputira,amputirasmo,amputiraste,amputiraše,amputirao bih,amputirao bi,amputirao bi,amputirali bismo,amputirali biste,amputirali bi,bio bih amputirao,bio bi amputirao,bio bi amputirao,bili bismo amputirali,bili biste amputirali,bili bi amputirali,amputiraj,amputirajmo,amputirajte
analizirati,to analyze,analiziram,analiziraš,analizira,analiziramo,analizirate,analiziraju,analizirat ću,analizirat ćeš,analizirat će,analizirat ćemo,analizirat ćete,analizirat će,budem analizirao,budeš analizirao,bude analizirao,budemo analizirali,budete analizirali,budu analizirali,analizirao sam,analizirao si,analizirao je,analizirali smo,analizirali ste,analizirali su,bio sam analizirao,bio si analizirao,bio je analizirao,bili smo analizirali,bili ste analizirali,bili su analizirali,analizirah,analiziraše,analiziraše,analizirasmo,analiziraste,analizirahu,analizirah,analizira,analizira,analizirasmo,analiziraste,analiziraše,analizirao bih,analizirao bi,analizirao bi,analizirali bismo,analizirali biste,analizirali bi,bio bih analizirao,bio bi analizirao,bio bi analizirao,bili bismo analizirali,bili biste analizirali,bili bi analizirali,analiziraj,analizirajmo,analizirajte
anatemizirati,to anathematize,anatemiziram,anatemiziraš,anatemizira,anatemiziramo,anatemizirate,anatemiziraju,anatemizirat ću,anatemizirat ćeš,anatemizirat će,anatemizirat ćemo,anatemizirat ćete,anatemizirat će,budem anatemizirao,budeš anatemizirao,bude anatemizirao,budemo anatemizirali,budete anatemizirali,budu anatemizirali,anatemizirao sam,anatemizirao si,anatemizirao je,anatemizirali smo,anatemizirali ste,anatemizirali su,bio sam anatemizirao,bio si anatemizirao,bio je anatemizirao,bili smo anatemizirali,bili ste anatemizirali,bili su anatemizirali,anatemizirah,anatemiziraše,anatemiziraše,anatemizirasmo,anatemiziraste,anatemizirahu,anatemizirah,anatemizira,anatemizira,anatemizirasmo,anatemiziraste,anatemiziraše,anatemizirao bih,anatemizirao bi,anatemizirao bi,anatemizirali bismo,anatemizirali biste,anatemizirali bi,bio bih anatemizirao,bio bi anatemizirao,bio bi anatemizirao,bili bismo anatemizirali,bili biste anatemizirali,bili bi anatemizirali,anatemiziraj,anatemizirajmo,anatemizirajte
anektirati,to annex,anektiram,anektiraš,anektira,anektiramo,anektirate,anektiraju,anektirat ću,anektirat ćeš,anektirat će,anektirat ćemo,anektirat ćete,anektirat će,budem anektirao,budeš anektirao,bude anektirao,budemo anektirali,budete anektirali,budu anektirali,anektirao sam,anektirao si,anektirao je,anektirali smo,anektirali ste,anektirali su,bio sam anektirao,bio si anektirao,bio je anektirao,bili smo anektirali,bili ste anektirali,bili su anektirali,anektirah,anektiraše,anektiraše,anektirasmo,anektiraste,anektirahu,anektirah,anektira,anektira,anektirasmo,anektiraste,anektiraše,anektirao bih,anektirao bi,anektirao bi,anektirali bismo,anektirali biste,anektirali bi,bio bih anektirao,bio bi anektirao,bio bi anektirao,bili bismo anektirali,bili biste anektirali,bili bi anektirali,anektiraj,anektirajmo,anektirajte
angažirati,to engage get involved,angažiram,angažiraš,angažira,angažiramo,angažirate,angažiraju,angažirat ću,angažirat ćeš,angažirat će,angažirat ćemo,angažirat ćete,angažirat će,budem angažirao,budeš angažirao,bude angažirao,budemo angažirali,budete angažirali,budu angažirali,angažirao sam,angažirao si,angažirao je,angažirali smo,angažirali ste,angažirali su,bio sam angažirao,bio si angažirao,bio je angažirao,bili smo angažirali,bili ste angažirali,bili su angažirali,angažirah,angažiraše,angažiraše,angažirasmo,angažiraste,angažirahu,angažirah,angažira,angažira,angažirasmo,angažiraste,angažiraše,angažirao bih,angažirao bi,angažirao bi,angažirali bismo,angažirali biste,angažirali bi,bio bih angažirao,bio bi angažirao,bio bi angažirao,bili bismo angažirali,bili biste angažirali,bili bi angažirali,angažiraj,angažirajmo,angažirajte
animirati,to animate,animiram,animiraš,animira,animiramo,animirate,animiraju,animirat ću,animirat ćeš,animirat će,animirat ćemo,animirat ćete,animirat će,budem animirao,budeš animirao,bude animirao,budemo animirali,budete animirali,budu animirali,animirao sam,animirao si,animirao je,animirali smo,animirali ste,animirali su,bio sam animirao,bio si animirao,bio je animirao,bili smo animirali,bili ste animirali,bili su animirali,animirah,animiraše,animiraše,animirasmo,animiraste,animirahu,,,,,,,animirao bih,animirao bi,animirao bi,animirali bismo,animirali biste,animirali bi,bio bih animirao,bio bi animirao,bio bi animirao,bili bismo animirali,bili biste animirali,bili bi animirali,animiraj,animirajmo,animirajte
anketirati,to poll,anketiram,anketiraš,anketira,anketiramo,anketirate,anketiraju,anketirat ću,anketirat ćeš,anketirat će,anketirat ćemo,anketirat ćete,anketirat će,budem anketirao,budeš anketirao,bude anketirao,budemo anketirali,budete anketirali,budu anketirali,anketirao sam,anketirao si,anketirao je,anketirali smo,anketirali ste,anketirali su,bio sam anketirao,bio si anketirao,bio je anketirao,bili smo anketirali,bili ste anketirali,bili su anketirali,anketirah,anketiraše,anketiraše,anketirasmo,anketiraste,anketirahu,anketirah,anketira,anketira,anketirasmo,anketiraste,anketiraše,anketirao bih,anketirao bi,anketirao bi,anketirali bismo,anketirali biste,anketirali bi,bio bih anketirao,bio bi anketirao,bio bi anketirao,bili bismo anketirali,bili biste anketirali,bili bi anketirali,anketiraj,anketirajmo,anketirajte
anotirati,to annotate,anotiram,anotiraš,anotira,anotiramo,anotirate,anotiraju,anotirat ću,anotirat ćeš,anotirat će,anotirat ćemo,anotirat ćete,anotirat će,budem anotirao,budeš anotirao,bude anotirao,budemo anotirali,budete anotirali,budu anotirali,anotirao sam,anotirao si,anotirao je,anotirali smo,anotirali ste,anotirali su,bio sam anotirao,bio si anotirao,bio je anotirao,bili smo anotirali,bili ste anotirali,bili su anotirali,anotirah,anotiraše,anotiraše,anotirasmo,anotiraste,anotirahu,anotirah,anotira,anotira,anotirasmo,anotiraste,anotiraše,anotirao bih,anotirao bi,anotirao bi,anotirali bismo,anotirali biste,anotirali bi,bio bih anotirao,bio bi anotirao,bio bi anotirao,bili bismo anotirali,bili biste anotirali,bili bi anotirali,anotiraj,anotirajmo,anotirajte
anticipirati,to anticipate,anticipiram,anticipiraš,anticipira,anticipiramo,anticipirate,anticipiraju,anticipirat ću,anticipirat ćeš,anticipirat će,anticipirat ćemo,anticipirat ćete,anticipirat će,budem anticipirao,budeš anticipirao,bude anticipirao,budemo anticipirali,budete anticipirali,budu anticipirali,anticipirao sam,anticipirao si,anticipirao je,anticipirali smo,anticipirali ste,anticipirali su,bio sam anticipirao,bio si anticipirao,bio je anticipirao,bili smo anticipirali,bili ste anticipirali,bili su anticipirali,anticipirah,anticipiraše,anticipiraše,anticipirasmo,anticipiraste,anticipirahu,anticipirah,anticipira,anticipira,anticipirasmo,anticipiraste,anticipiraše,anticipirao bih,anticipirao bi,anticipirao bi,anticipirali bismo,anticipirali biste,anticipirali bi,bio bih anticipirao,bio bi anticipirao,bio bi anticipirao,bili bismo anticipirali,bili biste anticipirali,bili bi anticipirali,anticipiraj,anticipirajmo,anticipirajte
anulirati,to annul,anuliram,anuliraš,anulira,anuliramo,anulirate,anuliraju,anulirat ću,anulirat ćeš,anulirat će,anulirat ćemo,anulirat ćete,anulirat će,budem anulirao,budeš anulirao,bude anulirao,budemo anulirali,budete anulirali,budu anulirali,anulirao sam,anulirao si,anulirao je,anulirali smo,anulirali ste,anulirali su,bio sam anulirao,bio si anulirao,bio je anulirao,bili smo anulirali,bili ste anulirali,bili su anulirali,,,,,,,anulirah,anulira,anulira,anulirasmo,anuliraste,anuliraše,anulirao bih,anulirao bi,anulirao bi,anulirali bismo,anulirali biste,anulirali bi,bio bih anulirao,bio bi anulirao,bio bi anulirao,bili bismo anulirali,bili biste anulirali,bili bi anulirali,anuliraj,anulirajmo,anulirajte
apelirati,to appeal,apeliram,apeliraš,apelira,apeliramo,apelirate,apeliraju,apelirat ću,apelirat ćeš,apelirat će,apelirat ćemo,apelirat ćete,apelirat će,budem apelirao,budeš apelirao,bude apelirao,budemo apelirali,budete apelirali,budu apelirali,apelirao sam,apelirao si,apelirao je,apelirali smo,apelirali ste,apelirali su,bio sam apelirao,bio si apelirao,bio je apelirao,bili smo apelirali,bili ste apelirali,bili su apelirali,apelirah,apeliraše,apeliraše,apelirasmo,apeliraste,apelirahu,apelirah,apelira,apelira,apelirasmo,apeliraste,apeliraše,apelirao bih,apelirao bi,apelirao bi,apelirali bismo,apelirali biste,apelirali bi,bio bih apelirao,bio bi apelirao,bio bi apelirao,bili bismo apelirali,bili biste apelirali,bili bi apelirali,apeliraj,apelirajmo,apelirajte
aplaudirati,to applaud,aplaudiram,aplaudiraš,aplaudira,aplaudiramo,aplaudirate,aplaudiraju,aplaudirat ću,aplaudirat ćeš,aplaudirat će,aplaudirat ćemo,aplaudirat ćete,aplaudirat će,budem aplaudirao,budeš aplaudirao,bude aplaudirao,budemo aplaudirali,budete aplaudirali,budu aplaudirali,aplaudirao sam,aplaudirao si,aplaudirao je,aplaudirali smo,aplaudirali ste,aplaudirali su,bio sam aplaudirao,bio si aplaudirao,bio je aplaudirao,bili smo aplaudirali,bili ste aplaudirali,bili su aplaudirali,aplaudirah,aplaudiraše,aplaudiraše,aplaudirasmo,aplaudiraste,aplaudirahu,aplaudirah,aplaudira,aplaudira,aplaudirasmo,aplaudiraste,aplaudiraše,aplaudirao bih,aplaudirao bi,aplaudirao bi,aplaudirali bismo,aplaudirali biste,aplaudirali bi,bio bih aplaudirao,bio bi aplaudirao,bio bi aplaudirao,bili bismo aplaudirali,bili biste aplaudirali,bili bi aplaudirali,aplaudiraj,aplaudirajmo,aplaudirajte
aplicirati,to apply,apliciram,apliciraš,aplicira,apliciramo,aplicirate,apliciraju,aplicirat ću,aplicirat ćeš,aplicirat će,aplicirat ćemo,aplicirat ćete,aplicirat će,budem aplicirao,budeš aplicirao,bude aplicirao,budemo aplicirali,budete aplicirali,budu aplicirali,aplicirao sam,aplicirao si,aplicirao je,aplicirali smo,aplicirali ste,aplicirali su,bio sam aplicirao,bio si aplicirao,bio je aplicirao,bili smo aplicirali,bili ste aplicirali,bili su aplicirali,aplicirah,apliciraše,apliciraše,aplicirasmo,apliciraste,aplicirahu,aplicirah,aplicira,aplicira,aplicirasmo,apliciraste,apliciraše,aplicirao bih,aplicirao bi,aplicirao bi,aplicirali bismo,aplicirali biste,aplicirali bi,bio bih aplicirao,bio bi aplicirao,bio bi aplicirao,bili bismo aplicirali,bili biste aplicirali,bili bi aplicirali,apliciraj,aplicirajmo,aplicirajte
apostrofirati,to apostrophize,apostrofiram,apostrofiraš,apostrofira,apostrofiramo,apostrofirate,apostrofiraju,apostrofirat ću,apostrofirat ćeš,apostrofirat će,apostrofirat ćemo,apostrofirat ćete,apostrofirat će,budem apostrofirao,budeš apostrofirao,bude apostrofirao,budemo apostrofirali,budete apostrofirali,budu apostrofirali,apostrofirao sam,apostrofirao si,apostrofirao je,apostrofirali smo,apostrofirali ste,apostrofirali su,bio sam apostrofirao,bio si apostrofirao,bio je apostrofirao,bili smo apostrofirali,bili ste apostrofirali,bili su apostrofirali,apostrofirah,apostrofiraše,apostrofiraše,apostrofirasmo,apostrofiraste,apostrofirahu,apostrofirah,apostrofira,apostrofira,apostrofirasmo,apostrofiraste,apostrofiraše,apostrofirao bih,apostrofirao bi,apostrofirao bi,apostrofirali bismo,apostrofirali biste,apostrofirali bi,bio bih apostrofirao,bio bi apostrofirao,bio bi apostrofirao,bili bismo apostrofirali,bili biste apostrofirali,bili bi apostrofirali,apostrofiraj,apostrofirajmo,apostrofirajte
aproksimirati,to approximate,aproksimiram,aproksimiraš,aproksimira,aproksimiramo,aproksimirate,aproksimiraju,aproksimirat ću,aproksimirat ćeš,aproksimirat će,aproksimirat ćemo,aproksimirat ćete,aproksimirat će,budem aproksimirao,budeš aproksimirao,bude aproksimirao,budemo aproksimirali,budete aproksimirali,budu aproksimirali,aproksimirao sam,aproksimirao si,aproksimirao je,aproksimirali smo,aproksimirali ste,aproksimirali su,bio sam aproksimirao,bio si aproksimirao,bio je aproksimirao,bili smo aproksimirali,bili ste aproksimirali,bili su aproksimirali,aproksimirah,aproksimiraše,aproksimiraše,aproksimirasmo,aproksimiraste,aproksimirahu,aproksimirah,aproksimira,aproksimira,aproksimirasmo,aproksimiraste,aproksimiraše,aproksimirao bih,aproksimirao bi,aproksimirao bi,aproksimirali bismo,aproksimirali biste,aproksimirali bi,bio bih aproksimirao,bio bi aproksimirao,bio bi aproksimirao,bili bismo aproksimirali,bili biste aproksimirali,bili bi aproksimirali,aproksimiraj,aproksimirajmo,aproksimirajte
apsolutizirati,to apply an attitude or judgment without limits and conditions,apsolutiziram,apsolutiziraš,apsolutizira,apsolutiziramo,apsolutizirate,apsolutiziraju,apsolutizirat ću,apsolutizirat ćeš,apsolutizirat će,apsolutizirat ćemo,apsolutizirat ćete,apsolutizirat će,budem apsolutizirao,budeš apsolutizirao,bude apsolutizirao,budemo apsolutizirali,budete apsolutizirali,budu apsolutizirali,apsolutizirao sam,apsolutizirao si,apsolutizirao je,apsolutizirali smo,apsolutizirali ste,apsolutizirali su,bio sam apsolutizirao,bio si apsolutizirao,bio je apsolutizirao,bili smo apsolutizirali,bili ste apsolutizirali,bili su apsolutizirali,apsolutizirah,apsolutiziraše,apsolutiziraše,apsolutizirasmo,apsolutiziraste,apsolutizirahu,apsolutizirah,apsolutizira,apsolutizira,apsolutizirasmo,apsolutiziraste,apsolutiziraše,apsolutizirao bih,apsolutizirao bi,apsolutizirao bi,apsolutizirali bismo,apsolutizirali biste,apsolutizirali bi,bio bih apsolutizirao,bio bi apsolutizirao,bio bi apsolutizirao,bili bismo apsolutizirali,bili biste apsolutizirali,bili bi apsolutizirali,apsolutiziraj,apsolutizirajmo,apsolutizirajte
apsolvirati,to complete all requirements for a full course of studies,apsolviram,apsolviraš,apsolvira,apsolviramo,apsolvirate,apsolviraju,apsolvirat ću,apsolvirat ćeš,apsolvirat će,apsolvirat ćemo,apsolvirat ćete,apsolvirat će,budem apsolvirao,budeš apsolvirao,bude apsolvirao,budemo apsolvirali,budete apsolvirali,budu apsolvirali,apsolvirao sam,apsolvirao si,apsolvirao je,apsolvirali smo,apsolvirali ste,apsolvirali su,bio sam apsolvirao,bio si apsolvirao,bio je apsolvirao,bili smo apsolvirali,bili ste apsolvirali,bili su apsolvirali,apsolvirah,apsolviraše,apsolviraše,apsolvirasmo,apsolviraste,apsolvirahu,apsolvirah,apsolvira,apsolvira,apsolvirasmo,apsolviraste,apsolviraše,apsolvirao bih,apsolvirao bi,apsolvirao bi,apsolvirali bismo,apsolvirali biste,apsolvirali bi,bio bih apsolvirao,bio bi apsolvirao,bio bi apsolvirao,bili bismo apsolvirali,bili biste apsolvirali,bili bi apsolvirali,apsolviraj,apsolvirajmo,apsolvirajte
apsorbirati,to absorb,apsorbiram,apsorbiraš,apsorbira,apsorbiramo,apsorbirate,apsorbiraju,apsorbirat ću,apsorbirat ćeš,apsorbirat će,apsorbirat ćemo,apsorbirat ćete,apsorbirat će,budem apsorbirao,budeš apsorbirao,bude apsorbirao,budemo apsorbirali,budete apsorbirali,budu apsorbirali,apsorbirao sam,apsorbirao si,apsorbirao je,apsorbirali smo,apsorbirali ste,apsorbirali su,bio sam apsorbirao,bio si apsorbirao,bio je apsorbirao,bili smo apsorbirali,bili ste apsorbirali,bili su apsorbirali,apsorbirah,apsorbiraše,apsorbiraše,apsorbirasmo,apsorbiraste,apsorbirahu,apsorbirah,apsorbira,apsorbira,apsorbirasmo,apsorbiraste,apsorbiraše,apsorbirao bih,apsorbirao bi,apsorbirao bi,apsorbirali bismo,apsorbirali biste,apsorbirali bi,bio bih apsorbirao,bio bi apsorbirao,bio bi apsorbirao,bili bismo apsorbirali,bili biste apsorbirali,bili bi apsorbirali,apsorbiraj,apsorbirajmo,apsorbirajte
apstinirati,to abstain,apstiniram,apstiniraš,apstinira,apstiniramo,apstinirate,apstiniraju,apstinirat ću,apstinirat ćeš,apstinirat će,apstinirat ćemo,apstinirat ćete,apstinirat će,budem apstinirao,budeš apstinirao,bude apstinirao,budemo apstinirali,budete apstinirali,budu apstinirali,apstinirao sam,apstinirao si,apstinirao je,apstinirali smo,apstinirali ste,apstinirali su,bio sam apstinirao,bio si apstinirao,bio je apstinirao,bili smo apstinirali,bili ste apstinirali,bili su apstinirali,apstinirah,apstiniraše,apstiniraše,apstinirasmo,apstiniraste,apstinirahu,apstinirah,apstinira,apstinira,apstinirasmo,apstiniraste,apstiniraše,apstinirao bih,apstinirao bi,apstinirao bi,apstinirali bismo,apstinirali biste,apstinirali bi,bio bih apstinirao,bio bi apstinirao,bio bi apstinirao,bili bismo apstinirali,bili biste apstinirali,bili bi apstinirali,apstiniraj,apstinirajmo,apstinirajte
apstrahirati,to abstract,apstrahiram,apstrahiraš,apstrahira,apstrahiramo,apstrahirate,apstrahiraju,apstrahirat ću,apstrahirat ćeš,apstrahirat će,apstrahirat ćemo,apstrahirat ćete,apstrahirat će,budem apstrahirao,budeš apstrahirao,bude apstrahirao,budemo apstrahirali,budete apstrahirali,budu apstrahirali,apstrahirao sam,apstrahirao si,apstrahirao je,apstrahirali smo,apstrahirali ste,apstrahirali su,bio sam apstrahirao,bio si apstrahirao,bio je apstrahirao,bili smo apstrahirali,bili ste apstrahirali,bili su apstrahirali,apstrahirah,apstrahiraše,apstrahiraše,apstrahirasmo,apstrahiraste,apstrahirahu,apstrahirah,apstrahira,apstrahira,apstrahirasmo,apstrahiraste,apstrahiraše,apstrahirao bih,apstrahirao bi,apstrahirao bi,apstrahirali bismo,apstrahirali biste,apstrahirali bi,bio bih apstrahirao,bio bi apstrahirao,bio bi apstrahirao,bili bismo apstrahirali,bili biste apstrahirali,bili bi apstrahirali,apstrahiraj,apstrahirajmo,apstrahirajte
aranžirati,to arrange,aranžiram,aranžiraš,aranžira,aranžiramo,aranžirate,aranžiraju,aranžirat ću,aranžirat ćeš,aranžirat će,aranžirat ćemo,aranžirat ćete,aranžirat će,budem aranžirao,budeš aranžirao,bude aranžirao,budemo aranžirali,budete aranžirali,budu aranžirali,aranžirao sam,aranžirao si,aranžirao je,aranžirali smo,aranžirali ste,aranžirali su,bio sam aranžirao,bio si aranžirao,bio je aranžirao,bili smo aranžirali,bili ste aranžirali,bili su aranžirali,aranžirah,aranžiraše,aranžiraše,aranžirasmo,aranžiraste,aranžirahu,aranžirah,aranžira,aranžira,aranžirasmo,aranžiraste,aranžiraše,aranžirao bih,aranžirao bi,aranžirao bi,aranžirali bismo,aranžirali biste,aranžirali bi,bio bih aranžirao,bio bi aranžirao,bio bi aranžirao,bili bismo aranžirali,bili biste aranžirali,bili bi aranžirali,aranžiraj,aranžirajmo,aranžirajte
arhaizirati,to archaize,arhaiziram,arhaiziraš,arhaizira,arhaiziramo,arhaizirate,arhaiziraju,arhaizirat ću,arhaizirat ćeš,arhaizirat će,arhaizirat ćemo,arhaizirat ćete,arhaizirat će,budem arhaizirao,budeš arhaizirao,bude arhaizirao,budemo arhaizirali,budete arhaizirali,budu arhaizirali,arhaizirao sam,arhaizirao si,arhaizirao je,arhaizirali smo,arhaizirali ste,arhaizirali su,bio sam arhaizirao,bio si arhaizirao,bio je arhaizirao,bili smo arhaizirali,bili ste arhaizirali,bili su arhaizirali,arhaizirah,arhaiziraše,arhaiziraše,arhaizirasmo,arhaiziraste,arhaizirahu,arhaizirah,arhaizira,arhaizira,arhaizirasmo,arhaiziraste,arhaiziraše,arhaizirao bih,arhaizirao bi,arhaizirao bi,arhaizirali bismo,arhaizirali biste,arhaizirali bi,bio bih arhaizirao,bio bi arhaizirao,bio bi arhaizirao,bili bismo arhaizirali,bili biste arhaizirali,bili bi arhaizirali,arhaiziraj,arhaizirajmo,arhaizirajte
